Sample_Name,Batch,Treatment,Dose,Type
SRR29684827,1,"1,1,2,2-Tetrakis(p-hydroxyphenyl)ethane",0.5,treatment
SRR29684828,1,No cells; 1X Lysis buffer,0.0,treatment
SRR29684829,1,Bisphenol A,0.5,treatment
SRR29684830,1,Bisphenol G,0.1,treatment
SRR29684831,1,Bisphenol G,0.5,treatment
SRR29684832,1,Bisphenol G,1.0,treatment
SRR29684833,1,Bisphenol G,5.0,treatment
SRR29684834,1,Bisphenol G,10.0,treatment
SRR29684835,1,"1,1,2,2-Tetrakis(p-hydroxyphenyl)ethane",10.0,treatment
SRR29684836,1,Methanol Treatment Control,0.0,control
SRR29684837,1,Bisphenol A,10.0,treatment
SRR29684838,1,Resorcinol sulfide,0.5,treatment
SRR29684839,1,Resorcinol sulfide,1.0,treatment
SRR29684840,1,Resorcinol sulfide,5.0,treatment
SRR29684841,1,Resorcinol sulfide,10.0,treatment
SRR29684842,1,Resorcinol sulfide,25.0,treatment
SRR29684843,1,"2,4'-Bisphenol A",1.0,treatment
SRR29684844,1,Bisphenol BP,1.0,treatment
SRR29684845,1,Rosalic Acid,0.5,treatment
SRR29684846,1,"2,4'-Bisphenol A",0.5,treatment
SRR29684847,1,"2,4'-Bisphenol A",1.0,treatment
SRR29684848,1,"2,4'-Bisphenol A",5.0,treatment
SRR29684849,1,"2,4'-Bisphenol A",10.0,treatment
SRR29684850,1,"2,4'-Bisphenol A",25.0,treatment
SRR29684851,3,Tetramethylol Bisphenol A,10.0,treatment
SRR29684852,3,Tetramethylol Bisphenol A,25.0,treatment
SRR29684853,3,Rosalic Acid,10.0,treatment
SRR29684854,3,Bisphenol P,10.0,treatment
SRR29684855,3,Resorcinol sulfide,0.5,treatment
SRR29684856,3,Resorcinol sulfide,1.0,treatment
SRR29684857,3,Resorcinol sulfide,5.0,treatment
SRR29684858,3,Resorcinol sulfide,10.0,treatment
SRR29684859,3,"2,4'-Bisphenol A",25.0,treatment
SRR29684860,3,Bisphenol G,0.1,treatment
SRR29684861,3,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",0.5,treatment
SRR29684862,3,Bisphenol P,0.1,treatment
SRR29684863,3,"Phenol, 2,2'-ethylidenebis[4,6-bis(1,1-dimethylethyl)-",0.5,treatment
SRR29684864,3,"Phenol, 2,2'-ethylidenebis[4,6-bis(1,1-dimethylethyl)-",1.0,treatment
SRR29684865,3,"Phenol, 2,2'-ethylidenebis[4,6-bis(1,1-dimethylethyl)-",5.0,treatment
SRR29684866,3,"Phenol, 2,2'-ethylidenebis[4,6-bis(1,1-dimethylethyl)-",10.0,treatment
SRR29684867,3,Bisphenol A,25.0,treatment
SRR29684868,3,Bisphenol G,5.0,treatment
SRR29684869,3,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",10.0,treatment
SRR29684870,3,Bisphenol P,5.0,treatment
SRR29684871,3,No cells; Universal human positive control,0.0,control
SRR29684872,3,No cells; Brain positive control,0.0,control
SRR29684873,3,Methanol Treatment Control,0.0,control
SRR29684874,3,Dimethyl sulfoxide Treatment Control,0.0,control
SRR29684875,3,Bisphenol BP,25.0,treatment
SRR29684876,2,Resorcinol sulfide,0.5,treatment
SRR29684877,2,Tetramethylol Bisphenol A,0.5,treatment
SRR29684878,2,"Phenol, 2,2'-ethylidenebis[4,6-bis(1,1-dimethylethyl)-",0.5,treatment
SRR29684879,2,Bisphenol P,0.1,treatment
SRR29684880,2,Bisphenol P,0.5,treatment
SRR29684881,2,Bisphenol P,1.0,treatment
SRR29684882,2,Bisphenol P,5.0,treatment
SRR29684883,2,Rosalic Acid,10.0,treatment
SRR29684884,2,Resorcinol sulfide,10.0,treatment
SRR29684885,2,Tetramethylol Bisphenol A,10.0,treatment
SRR29684886,2,"Phenol, 2,2'-ethylidenebis[4,6-bis(1,1-dimethylethyl)-",10.0,treatment
SRR29684887,2,Tetra Methyl Bisphenol S,0.5,treatment
SRR29684888,2,Tetra Methyl Bisphenol S,1.0,treatment
SRR29684889,2,Tetra Methyl Bisphenol S,5.0,treatment
SRR29684890,2,Tetra Methyl Bisphenol S,10.0,treatment
SRR29684891,2,Resorcinol sulfide,25.0,treatment
SRR29684892,2,Dexamethasone,0.0,treatment
SRR29684893,2,Media Negative,0.0,treatment
SRR29684894,2,Estradiol_10nM,10.0,treatment
SRR29684895,2,"1,1,2,2-Tetrakis(p-hydroxyphenyl)ethane",0.5,treatment
SRR29684896,2,"1,1,2,2-Tetrakis(p-hydroxyphenyl)ethane",1.0,treatment
SRR29684897,2,"1,1,2,2-Tetrakis(p-hydroxyphenyl)ethane",5.0,treatment
SRR29684898,2,"1,1,2,2-Tetrakis(p-hydroxyphenyl)ethane",10.0,treatment
SRR29684899,2,Bisphenol A,25.0,treatment
SRR29684900,2,Tetra Methyl Bisphenol S,25.0,treatment
SRR29684901,2,Bisphenol G,10.0,treatment
SRR29684902,2,No cells; Universal human positive control,0.0,control
SRR29684903,2,No cells; Brain positive control,0.0,control
SRR29684904,2,Methanol Treatment Control,0.0,control
SRR29684905,2,Dimethyl sulfoxide Treatment Control,0.0,control
SRR29684906,2,"4,4'-Dichlorodiphenyl sulfone",25.0,treatment
SRR29684907,1,"1,1,2,2-Tetrakis(p-hydroxyphenyl)ethane",5.0,treatment
SRR29684908,1,Dimethyl sulfoxide Treatment Control,0.0,control
SRR29684909,1,Bisphenol A,5.0,treatment
SRR29684910,1,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",0.5,treatment
SRR29684911,1,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",1.0,treatment
SRR29684912,1,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",5.0,treatment
SRR29684913,1,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",10.0,treatment
SRR29684914,3,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",10.0,treatment
SRR29684915,3,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",25.0,treatment
SRR29684916,3,Rosalic Acid,0.5,treatment
SRR29684917,3,Bisphenol P,0.5,treatment
SRR29684918,3,No cells; 1X Lysis buffer,0.0,treatment
SRR29684919,3,Rosalic Acid,0.1,treatment
SRR29684920,3,Rosalic Acid,0.5,treatment
SRR29684921,3,Rosalic Acid,1.0,treatment
SRR29684922,3,Tetra Methyl Bisphenol S,25.0,treatment
SRR29684923,3,Media Negative,0.0,treatment
SRR29684924,3,Estradiol_10nM,10.0,treatment
SRR29684925,3,Dexamethasone,0.0,treatment
SRR29684926,3,"2,4'-Bisphenol A",0.5,treatment
SRR29684927,3,"2,4'-Bisphenol A",1.0,treatment
SRR29684928,3,"2,4'-Bisphenol A",5.0,treatment
SRR29684929,3,"2,4'-Bisphenol A",10.0,treatment
SRR29684930,3,"1,1,2,2-Tetrakis(p-hydroxyphenyl)ethane",25.0,treatment
SRR29684931,3,Bisphenol G,1.0,treatment
SRR29684932,3,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",5.0,treatment
SRR29684933,3,Bisphenol P,1.0,treatment
SRR29684934,3,Bisphenol A,0.5,treatment
SRR29684935,3,Bisphenol A,1.0,treatment
SRR29684936,3,Bisphenol A,5.0,treatment
SRR29684937,3,Bisphenol A,10.0,treatment
SRR29684938,2,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",25.0,treatment
